archivalia_5837;de;wolfthomas;171;N/A;2013-11-18;N/A;archivalia;5837;http://archivalia.hypotheses.org/5837;Bundesarchiv tritt Berliner Erklärung zu Open Access bei
archivewk1_22897;de;Stadtarchiv Düsseldorf;601;N/A;2016-07-04;N/A;archivewk1;22897;http://archivewk1.hypotheses.org/22897;4. Juli 1916
archivalia_57563;de;Klaus Graf;326;N/A;2016-07-01;CC;archivalia;57563;http://archivalia.hypotheses.org/57563;Unfähige Verwaltungsrichter haben keine Ahnung vom Urheberrecht
archivalia_8918;de;Klaus Graf;189;N/A;2012-08-05;N/A;archivalia;8918;http://archivalia.hypotheses.org/8918;BHG erleichtert Copyfraud
kristinoswald_1624;de;Kristin Oswald;108;N/A;2015-04-20;N/A;kristinoswald;1624;http://kristinoswald.hypotheses.org/1624;Die Antike – das Fremde – so nah
ostbib_933;de;OstBib;443;N/A;2015-10-01;N/A;ostbib;933;http://ostbib.hypotheses.org/933;Kleine Kabinettausstellung: Josef Čapek – Maler, Dichter, Schriftsteller
archivalia_1416;de;Klaus Graf;130;N/A;2015-07-05;CC;archivalia;1416;http://archivalia.hypotheses.org/1416;Angriff auf die Panoramafreiheit: Julia Reda erläutert
archivamt_1713;de;famiblogger;178;N/A;2015-03-17;N/A;archivamt;1713;http://archivamt.hypotheses.org/1713;Eröffnung des 67. Westfälischen Archivtages in Gladbeck
archivalia_9605;de;Archivar123;76;N/A;2012-04-02;N/A;archivalia;9605;http://archivalia.hypotheses.org/9605;Verschollenes Singspiel “Das Orakel” vor dem Reißwolf gerettet
gra_1623;de;Kerstin Küster;477;N/A;2015-04-03;N/A;gra;1623;http://gra.hypotheses.org/1623;Ostern im „September“
archivalia_8020;de;Klaus Graf;52;N/A;2012-12-18;N/A;archivalia;8020;http://archivalia.hypotheses.org/8020;Dümmer gehts in Fulda immer
lvrafz_1460;de;Henrike Bolte;235;N/A;2014-06-24;N/A;lvrafz;1460;http://lvrafz.hypotheses.org/1460;Sektion 5: Abstract des Vortrags von Susanne Haendschke M.A. zu Kooperationen im Notfall
archivewk1_1275;de;Landesarchiv NRW Abteilung Rheinland;93;N/A;2014-08-21;N/A;archivewk1;1275;http://archivewk1.hypotheses.org/1275;21. August 1914
archivewk1_4550;de;Stadtarchiv Goch;81;N/A;2014-12-30;N/A;archivewk1;4550;http://archivewk1.hypotheses.org/4550;30. Dezember 1914
archivalia_5549;de;Klaus Graf;317;N/A;2013-12-19;N/A;archivalia;5549;http://archivalia.hypotheses.org/5549;Best of Archivalia (xix): Illuminierte Archivalien (2010)
archivalia_57453;de;Klaus Graf;220;N/A;2016-06-26;N/A;archivalia;57453;http://archivalia.hypotheses.org/57453;Zu sehr mit Adelsbibliothek befasst
archivewk1_7555;de;Stadtarchiv Hilden;150;N/A;2014-12-11;N/A;archivewk1;7555;http://archivewk1.hypotheses.org/7555;11. Dezember 1914
archivalia_59298;de;Klaus Graf;62;N/A;2016-09-20;N/A;archivalia;59298;http://archivalia.hypotheses.org/59298;Italien: Löschpflicht für Nachrichtenseiten
1914lvr_579;de;Keywan Klaus Münster;237;N/A;2013-10-06;N/A;1914lvr;579;http://1914lvr.hypotheses.org/579;Vortrag von Dipl.-Pol. Stephanie Widholm und Dipl.-Kulturwiss. Meike Komatowsky: „Bildungspartner NRW − Museen und Archive als Partner von Schulen“, 25.9., 15.30 Uhr
edunob_128;de;Maria Golovnya;793;N/A;2014-09-05;N/A;edunob;128;http://edunob.hypotheses.org/128;Das Bildungsideal des Adels in Europa (17. – Anfang des 19. Jhs.)
archive20_1081;de;wolf;70;N/A;2014-01-03;N/A;archive20;1081;http://archive20.hypotheses.org/1081;Ein Versuch: Regionales 1. Weltkrieg-Projekt im Blog
histbav_2773;de;Mailingliste Geschichte Bayerns;52;N/A;2014-08-12;N/A;histbav;2773;http://histbav.hypotheses.org/2773;Historisches Lexikon Bayerns: Neue Beiträge
reichwein_1137;de;Redaktion;119;N/A;2015-12-11;N/A;reichwein;1137;http://reichwein.hypotheses.org/1137;Neuer Infoflyer des Universitätsarchivs Osnabrück
archivewk1_9266;de;Stadtarchiv Hilden;76;N/A;2015-02-03;N/A;archivewk1;9266;http://archivewk1.hypotheses.org/9266;3. Februar 1915
trafo_1711;de;Christian Boulanger;163;N/A;2015-02-06;N/A;trafo;1711;http://trafo.hypotheses.org/1711;Transregionale Wirtschaftswissenschaften: „Piketty“ nichts als Eurozentrismus?
archivalia_8434;de;Klaus Graf;378;N/A;2012-10-17;N/A;archivalia;8434;http://archivalia.hypotheses.org/8434;Deutsche Nationalbibliothek tritt der Public Domain kräftig gegen das Schienbein
archivewk1_4928;de;Stadtarchiv Troisdorf;68;N/A;2014-10-25;N/A;archivewk1;4928;http://archivewk1.hypotheses.org/4928;25. Oktober 1914
fnzinfo_997;de;Pawel Migasiewicz;1551;N/A;2016-12-19;N/A;fnzinfo;997;http://fnzinfo.hypotheses.org/997;Tagungsbericht: „La représentation sculpturale du pouvoir. La France, l’Italie et leur rayonnement en Europe à l’époque moderne“
